# USBR Lower Colorado Basin Annual reports: Cha Cha Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2016 43 90 120 207 236 220 114 264 242 84 129 62 1811 
2017 40 56 88 82 150 113 157 93 99 172 81 21 1152 
2018 57 35 139 230 179 237 124 171 168 203 154 74 1771 
2019 33 64 119 130 76 176 218 237 198 185 159 82 1677 
2020 73 74 39 110 165 114 70 118 92 84 68 59 1066 
2021 35 65 110 106 211 185 203 95 98 109 85 48 1350 
