# USBR Lower Colorado Basin Annual reports: Marble Canyon Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2016 1 1 1 1 1 1 2 2 2 2 1 1 16 
2017 1 1 1 1 2 2 2 2 2 1 1 0 16 
2018 1 1 1 1 1 2 2 1 2 1 1 0 14 
2019 0 0 1 1 1 2 2 2 2 1 0 0 12 
2020 0 0 1 1 1 1 1 1 1 1 1 1 10 
2021 1 1 1 1 1 2 2 1 1 1 1 0 13 
