Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2004 1,666 1,667 1,667 1,666 1,667 1,667 1,666 1,667 1,667 1,666 1,667 1,667 20,000
2005 2,500 2,500 2,500 2,500 2,500 2,500 2,500 2,500 2,500 2,500 2,500 2,500 30,000
2006 3,333 3,333 3,334 3,333 3,333 3,334 3,333 3,333 3,334 3,333 3,333 4174 40,842
2007 5,958 5,958 5,959 5,958 5,958 5,959 5,958 5,958 5,959 5,958 5,958 7,584 73,125
2008 6,825 6,385 6,825 6,605 6,825 6,505 6,825 6,825 6,505 6,825 6,605 6,825 80,582
2009 10,432 11,798 11,796 11,796 11,796 11,796 11,796 11,796 11,796 11,796 11,796 11,796 140,188
2010 12,308 12,309 12,308 12,308 12,309 12,308 12,308 12,309 12,308 12,308 12,309 16,115 151,507
2011 11,846 5,172 16,161 16,337 19,034 21,892 22,787 20,712 18,992 1,970 1,594 3,468 159,965
