# USBR Lower Colorado Basin Annual reports:  Mexico's Deferred Delivery
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2012 0 0 28268 14650 15699 15882 12221 12201 8302 12584 13170 132977 
2013 0 0 10714 28268 14649 11496 8439 12221 12201 9340 12585 6899 126812
2014 0 0 0 11526 7600 0 2171 7600 0 0 16811 10301 56009 
2015 0 0 0 0 0 0 0 0 0 0 0 0 0 
2016 0 0 0 0 0 0 0 0 0 0 0 0 0 
