# USBR Lower Colorado Basin Annual reports: Havasu Water Company Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2016 1 1 1 1 2 2 2 3 2 1 1 1 18 
2017 0 1 2 2 2 2 2 3 2 2 1 1 20 
2018 0 1 2 2 2 3 2 2 2 2 1 1 20
2019 0 1 1 2 2 1 2 2 2 2 2 1 18 
2020 2 1 1 2 2 2 1 2 2 2 2 2 21 
2021 2 1 2 2 2 2 1 1 2 2 2 1 20 
