Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3121.75,3118.84,0.01,0.06
3121.76,3118.85,0.01,0.06
3121.77,3118.86,0.01,0.06
3121.78,3118.87,0.01,0.06
3121.79,3118.88,0.01,0.06
3121.8,3118.89,0.01,0.06
3121.81,3118.9,0.01,0.06
3121.82,3118.91,0.01,0.06
3121.83,3118.92,0.01,0.06
3121.84,3118.93,0.01,0.06
3121.85,3118.94,0.01,0.06
3121.86,3118.95,0.01,0.06
3121.87,3118.96,0.01,0.06
3121.88,3118.97,0.01,0.06
3121.89,3118.98,0.01,0.06
3121.9,3118.99,0.01,0.06
3121.91,3119,0.01,0.06
3121.92,3119.01,0.01,0.06
3121.93,3119.02,0.01,0.06
3121.94,3119.03,0.01,0.06
3121.95,3119.04,0.01,0.06
3121.96,3119.05,0.01,0.06
3121.97,3119.06,0.01,0.06
3121.98,3119.07,0.01,0.06
3121.99,3119.08,0.01,0.06
3122,3119.09,0.01,0.06
3122.01,3119.1,0.01,0.06
3122.02,3119.11,0.01,0.06
3122.03,3119.12,0.01,0.06
3122.04,3119.13,0.01,0.06
3122.05,3119.14,0.01,0.06
3122.06,3119.15,0.01,0.06
3122.07,3119.16,0.01,0.06
3122.08,3119.17,0.01,0.06
3122.09,3119.18,0.01,0.07
3122.1,3119.19,0.01,0.07
3122.11,3119.2,0.01,0.07
3122.12,3119.21,0.01,0.07
3122.13,3119.22,0.01,0.07
3122.14,3119.23,0.01,0.07
3122.15,3119.24,0.01,0.07
3122.16,3119.25,0.01,0.07
3122.17,3119.26,0.01,0.07
3122.18,3119.27,0.01,0.07
3122.19,3119.28,0.01,0.07
3122.2,3119.29,0.01,0.07
3122.21,3119.3,0.01,0.07
3122.22,3119.31,0.01,0.07
3122.23,3119.32,0.01,0.07
3122.24,3119.33,0.01,0.07
3122.25,3119.34,0.01,0.07
3122.26,3119.35,0.01,0.07
3122.27,3119.36,0.01,0.07
3122.28,3119.37,0.01,0.07
3122.29,3119.38,0.01,0.07
3122.3,3119.39,0.01,0.07
3122.31,3119.4,0.01,0.07
3122.32,3119.41,0.01,0.07
3122.33,3119.42,0.01,0.07
3122.34,3119.43,0.01,0.07
3122.35,3119.44,0.01,0.07
3122.36,3119.45,0.01,0.07
3122.37,3119.46,0.01,0.07
3122.38,3119.47,0.01,0.07
3122.39,3119.48,0.01,0.07
