1985,19.094
1986,16.848
1987,13.429
1988,8.144
1989,7.981
1990,8.140
1991,8.121
1992,8.002
1993,8.102
1994,8.289
1995,9.223
1996,11.522
1997,13.824
1998,13.510
1999,11.204
2000,9.381
2001,8.236
2002,8.230
2003,8.229
2004,8.231
2005,8.232
2006,8.228
2007,8.231
2008,8.978
2009,8.236
2010,8.235
2011,12.518
2012,9.466
2013,8.232
2014,7.480
2015,9.000
2016,9.000
2017,9.000
2018,9.000
2019,9.001
2020,8.230
2021,8.230
2022,7.000
2023,8.580
2024,7.480
2025,7.480
